{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519532.8320374}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519533.013942}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519533.1600232}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519533.3047333}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519533.4177897}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519533.5788405}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519533.782898}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519533.7939}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519534.1589973}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519534.2180102}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519534.2670214}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519534.4546854}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519534.6267297}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519534.7237551}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519534.8307812}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519534.8417838}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519534.9502387}
{'type': 'down', 'input': 'space', 'position': (1431, 694), 'timestamp': 1697519535.019254}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519535.131837}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519535.1532238}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519535.6480634}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519536.4176404}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519536.6318538}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519536.75023}
{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519536.862768}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519537.0448086}
