{'type': 'down', 'input': 'x', 'position': Point(x=763, y=330), 'timestamp': 1697363620.1432052}
{'type': 'down', 'input': 'm', 'position': Point(x=763, y=330), 'timestamp': 1697363620.208601}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.2126026}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.3009133}
{'type': 'down', 'input': 'd', 'position': Point(x=763, y=330), 'timestamp': 1697363620.3103006}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.391123}
{'type': 'down', 'input': 'l', 'position': Point(x=763, y=330), 'timestamp': 1697363620.4026291}
{'type': 'down', 'input': 'q', 'position': Point(x=763, y=330), 'timestamp': 1697363620.4553933}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.5044117}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.519324}
{'type': 'down', 'input': 's', 'position': Point(x=763, y=330), 'timestamp': 1697363620.6219552}
{'type': 'down', 'input': 'l', 'position': Point(x=763, y=330), 'timestamp': 1697363620.6720927}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.6918273}
{'type': 'down', 'input': 'e', 'position': Point(x=763, y=330), 'timestamp': 1697363620.7456741}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.7582407}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.82661}
{'type': 'down', 'input': 'k', 'position': Point(x=763, y=330), 'timestamp': 1697363620.8442738}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363620.9413562}
{'type': 'down', 'input': '.', 'position': Point(x=763, y=330), 'timestamp': 1697363621.0589538}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363621.140368}
{'type': 'down', 'input': 'enter', 'position': Point(x=763, y=330), 'timestamp': 1697363621.560098}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363621.651862}
{'type': 'down', 'input': '2', 'position': Point(x=1112, y=816), 'timestamp': 1697363630.0889835}
{'type': 'up', 'input': None, 'position': Point(x=1265, y=852), 'timestamp': 1697363630.192682}
